loanKey,rep_loan_date,first_loan,dpd_5_cnt,dpd_15_cnt,dpd_30_cnt,first_overdue_date,close_loans_cnt,federal_district_nm,TraderKey,payment_type_0,payment_type_1,payment_type_2,payment_type_3,payment_type_4,payment_type_5,past_billings_cnt,score_1,score_2,age,gender,bad_flag
307a838f523ff4963ff3d9436b04be90,2016-03-26,2015-09-28,1.0,0.0,0.0,2016-01-30,0.0,region_6,1679091c5a880faf6fb5e6087eb1b2dc,0,0,6,0,0,0,5.0,,,20.0,False,0
779ad1fcf8fa5a1fb863e725ba02f3ea,2016-10-30,2015-12-21,,,,,2.0,region_1,1679091c5a880faf6fb5e6087eb1b2dc,0,0,0,5,0,0,5.0,,,19.0,False,0
665d9bb66b1dcb65e89f922ac00f1f45,2016-06-29,2015-06-30,,,,,1.0,region_6,aab3238922bcc25a6f606eb525ffdc56,0,0,4,0,0,0,6.0,,,21.0,False,0
0af212b8130a0285ca67dfeb57c64a68,2015-12-01,2015-08-03,,,,,0.0,region_5,b6d767d2f8ed5d21a44b0e5886680cb9,0,3,0,0,0,0,3.0,,,33.0,False,0
5f13b34f42f732620491c282ae56bc23,2016-10-01,2015-08-30,,,,,2.0,region_3,a5771bce93e200c36f7cd9dfd0e5deaa,0,0,6,0,0,0,5.0,,,34.0,False,0
02456b880eb95e39f42dca6b4b4b8ad9,2016-02-18,2015-06-07,1.0,0.0,0.0,2015-11-06,2.0,region_3,1679091c5a880faf6fb5e6087eb1b2dc,0,0,9,0,0,0,8.0,,,32.0,False,0
fa1bade577d572f0cefd464601f0f867,2015-11-23,2015-06-04,1.0,1.0,0.0,2015-11-06,0.0,region_3,1679091c5a880faf6fb5e6087eb1b2dc,0,0,5,0,0,0,5.0,,,23.0,False,1
902a0bcfb81e92d2fce2fb0e78828db9,2016-09-19,2015-12-03,3.0,1.0,0.0,2016-01-15,1.0,region_2,1679091c5a880faf6fb5e6087eb1b2dc,0,0,4,0,0,0,6.0,,,33.0,False,0
a49271ee842558b317eafd115a0927fa,2015-11-22,2015-06-04,1.0,1.0,0.0,2015-11-06,0.0,region_3,1679091c5a880faf6fb5e6087eb1b2dc,0,0,5,0,0,0,5.0,,,23.0,False,1
c5d23877abb1acb86b3f816fb740a749,2016-05-27,2015-10-27,,,,,1.0,region_3,a5771bce93e200c36f7cd9dfd0e5deaa,0,0,3,0,0,0,3.0,,,38.0,False,0
a59d68d4b06eeaa1a89f52ab78c15ea6,2015-11-15,2015-05-17,1.0,1.0,1.0,2015-07-20,0.0,region_3,1679091c5a880faf6fb5e6087eb1b2dc,0,0,5,0,0,0,5.0,,,29.0,False,0
98212c93f586477f2b2c0dd12d5bcd65,2015-12-27,2015-09-30,,,,,0.0,region_2,aab3238922bcc25a6f606eb525ffdc56,0,0,0,3,0,0,2.0,,,23.0,False,0
097aaa9b2bdf3409eea920365c61a9a1,2015-12-04,2015-07-14,1.0,0.0,0.0,2015-11-13,0.0,region_6,4e732ced3463d06de0ca9a15b6153677,0,5,0,0,0,0,4.0,,,22.0,False,0
22139221c20c796a124dea598d60d52b,2016-05-19,2015-12-16,,,,,1.0,region_6,a5771bce93e200c36f7cd9dfd0e5deaa,0,0,3,0,0,0,3.0,,,21.0,False,0
84152b968d1b286624f53aa0fa441396,2016-08-29,2015-09-08,,,,,2.0,region_3,1679091c5a880faf6fb5e6087eb1b2dc,0,0,6,1,0,0,7.0,,,22.0,False,0
d341fc04d16d4edc4db07a6f5fd34293,2015-07-28,2015-05-06,,,,,0.0,region_2,aab3238922bcc25a6f606eb525ffdc56,0,2,0,0,0,0,2.0,,,31.0,True,0
c45f536b1bd4340c7e5ff2396ae835b3,2016-03-15,2015-05-15,1.0,1.0,1.0,2015-06-20,2.0,region_3,1679091c5a880faf6fb5e6087eb1b2dc,0,1,9,0,0,0,8.0,,,22.0,False,0
339efce2b43f27468619c74982d11f0c,2015-10-20,2015-06-01,,,,,0.0,region_0,1679091c5a880faf6fb5e6087eb1b2dc,0,4,0,0,0,0,4.0,,,20.0,False,1
